DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,FUENTE DE ORO,MAIZ BLANCO,2015,A,30,30,150,5
META,FUENTE DE ORO,MAIZ BLANCO,2015,B,22,22,110,5
META,ACACIAS,PALMA DE ACEITE,2015,A,20000,16000,512000,32
META,ACACIAS,CITRICOS,2015,A,320,280,5600,20
META,ACACIAS,CAUCHO,2015,A,120,60,120,2
META,ACACIAS,CACAO,2015,A,402,382,191,0.5
META,ACACIAS,CAÑA PANELERA,2015,A,62,52,104,2
META,ACACIAS,PLATANO,2015,A,55,40,360,9
META,ACACIAS,PIÑA,2015,A,115,90,3600,40
META,ACACIAS,MARACUYA,2015,A,50,40,640,16
META,ACACIAS,YUCA,2015,A,50,50,650,13
META,ACACIAS,MANGOSTINO,2015,A,56,44,176,4
META,ACACIAS,RAMBUTAN,2015,A,8,5,20,4
META,ACACIAS,ARROZ RIEGO,2015A,A,55,55,275,5
META,ACACIAS,ARROZ SECANO MECANIZADO,2015A,A,176,176,968,5.5
META,ACACIAS,PATILLA,2015A,A,40,40,1000,25
META,ACACIAS,PATILLA,2015B,B,65,65,1625,25
META,ACACIAS,CAFÃ‰,2015,A,80,80,120,1.5
META,ACACIAS,LULO,2015,A,3,3,27,9
META,ACACIAS,PLANTAS AROMATICAS,2015,A,3,3,15,5
META,CABUYARO,CITRICOS,2015,A,40,40,1000,25
META,CABUYARO,PIÑA,2015,A,33,25,1000,40
META,CABUYARO,PALMA DE ACEITE,2015,A,16492,13200,396000,30
META,CABUYARO,CACAO,2015,A,70,32,25.6,0.8
META,CABUYARO,PLATANO,2015,A,208,140,1260,9
META,CABUYARO,MARACUYA,2015,A,4,2,32,16
META,CABUYARO,YUCA,2015,A,20,20,280,14
META,CABUYARO,ARROZ RIEGO,2015A,A,400,400,2000,5
META,CABUYARO,ARROZ SECANO MECANIZADO,2015A,A,3100,3100,16430,5.3
META,CABUYARO,MAIZ TECNIFICADO,2015A,A,280,280,1120,4
META,CABUYARO,MAIZ TRADICIONAL,2015A,A,12,12,21.6,1.8
META,CABUYARO,ARROZ RIEGO,2015B,B,1350,1350,7155,5.3
META,CABUYARO,MAIZ TRADICIONAL,2015,B,10,10,18,1.8
META,CABUYARO,MAIZ TECNIFICADO,2015B,B,25,25,50,2
META,CABUYARO,SOYA,2015B,B,125,125,312.5,2.5
META,PUERTO GAITAN,PALMA DE ACEITE,2015,A,29000,15000,450000,30
META,PUERTO GAITAN,CACAO,2015,A,156,70,105,1.5
META,PUERTO GAITAN,CAÑA PANELERA,2015,A,50,42,84,2
META,PUERTO GAITAN,PLATANO,2015,A,90,80,720,9
META,PUERTO GAITAN,CAUCHO,2015,A,3800,50,100,2
META,PUERTO GAITAN,YUCA,2015,A,300,300,3600,12
META,PUERTO GAITAN,ARROZ SECANO MECANIZADO,2015A,A,3150,3150,17325,5.5
META,PUERTO GAITAN,MAIZ TECNIFICADO,2015A,A,3700,3700,24050,6.5
META,PUERTO GAITAN,SOYA,2015A,A,6720,6720,16800,2.5
META,PUERTO GAITAN,MAIZ TRADICIONAL,2015A,A,46,46,138,3
META,PUERTO GAITAN,MAIZ TECNIFICADO,2015B,B,6700,6700,43550,6.5
META,PUERTO GAITAN,SOYA,2015B,B,3700,3700,9250,2.5
META,PUERTO LOPEZ,CAUCHO,2015,A,13828,1200,2400,2
META,PUERTO LOPEZ,CITRICOS,2015,A,57,42,840,20
META,PUERTO LOPEZ,MARACUYA,2015,A,30,20,320,16
META,PUERTO LOPEZ,PAPAYA,2015,A,30,19,760,40
META,PUERTO LOPEZ,PIÑA,2015,A,53,38,1520,40
META,PUERTO LOPEZ,PALMA DE ACEITE,2015,A,3050,3050,100650,33
META,PUERTO LOPEZ,CACAO,2015,A,150,80,72,0.9
META,PUERTO LOPEZ,CAÑA AZUCARERA,2015,A,11008,7065,35325,5
META,PUERTO LOPEZ,PLATANO,2015,A,60,60,720,12
META,PUERTO LOPEZ,YUCA,2015,A,45,45,630,14
META,PUERTO LOPEZ,ARROZ RIEGO,2015A,A,140,140,910,6.5
META,PUERTO LOPEZ,ARROZ SECANO MECANIZADO,2015A,A,5612,5612,33672,6
META,PUERTO LOPEZ,MAIZ TECNIFICADO,2015A,A,1294,1294,7764,6
META,PUERTO LOPEZ,MAIZ TRADICIONAL,2015A,A,46,46,82.8,1.8
META,PUERTO LOPEZ,MAIZ FORRAJERO,2015A,A,50,50,1200,24
META,PUERTO LOPEZ,PATILLA,2015A,A,65,65,2600,40
META,PUERTO LOPEZ,SOYA,2015A,A,3700,3700,8140,2.2
META,PUERTO LOPEZ,ARROZ RIEGO,2015B,B,2450,2450,14700,6
META,PUERTO LOPEZ,ARROZ SECANO MECANIZADO,2015B,B,1420,1420,7100,5
META,PUERTO LOPEZ,MAIZ TECNIFICADO,2015B,B,3426,3426,20556,6
META,PUERTO LOPEZ,MAIZ FORRAJERO,2015B,B,108,108,2700,25
META,PUERTO LOPEZ,PATILLA,2015B,B,46,46,1610,35
META,PUERTO LOPEZ,MAIZ TRADICIONAL,2015B,B,15,15,42,2.8
META,PUERTO LOPEZ,SOYA,2015B,B,8290,8290,16580,2
META,PUERTO LOPEZ,CAFÃ‰,2015,A,30,0,0,0
META,VISTA HERMOSA,ARROZ SECANO MECANIZADO ,2015,A,2800,2800,18200,6.5
META,VISTA HERMOSA,MAIZ TECNIFICADO,2015,A,340,340,2040,6
META ,VISTA HERMOSA,MAIZ TRADICIONAL,2015,A,100,100,180,1.8
META,VISTA HERMOSA,PATILLA,2015,A,35,35,1225,35
META  ,VISTA HERMOSA,MAIZ BLANCO,2015,A,100,100,3500,35
META,VISTA HERMOSA,MAIZ TECNIFICADO,2015,B,920,920,5520,6
META,VISTA HERMOSA,MAIZ TRADICIONAL,2015,B,400,400,720,1.8
